Row,MEDV
1,24
2,21.6
3,34.7
4,33.4
5,36.2
6,28.7
7,22.9
8,27.1
9,16.5
10,18.9
11,15
12,18.9
13,21.7
14,20.4
15,18.2
16,19.9
17,23.1
18,17.5
19,20.2
20,18.2
21,13.6
22,19.6
23,15.2
24,14.5
25,15.6
26,13.9
27,16.6
28,14.8
29,18.4
30,21
31,12.7
32,14.5
33,13.2
34,13.1
35,13.5
36,18.9
37,20
38,21
39,24.7
40,30.8
41,34.9
42,26.6
43,25.3
44,24.7
45,21.2
46,19.3
47,20
48,16.6
49,14.4
50,19.4
51,19.7
52,20.5
53,25
54,23.4
55,18.9
56,35.4
57,24.7
58,31.6
59,23.3
60,19.6
61,18.7
62,16
63,22.2
64,25
65,33
66,23.5
67,19.4
68,22
69,17.4
70,20.9
71,24.2
72,21.7
73,22.8
74,23.4
75,24.1
76,21.4
77,20
78,20.8
79,21.2
80,20.3
81,28
82,23.9
83,24.8
84,22.9
85,23.9
86,26.6
87,22.5
88,22.2
89,23.6
90,28.7
91,22.6
92,22
93,22.9
94,25
95,20.6
96,28.4
97,21.4
98,38.7
99,43.8
100,33.2
101,27.5
102,26.5
103,18.6
104,19.3
105,20.1
106,19.5
107,19.5
108,20.4
109,19.8
110,19.4
111,21.7
112,22.8
113,18.8
114,18.7
115,18.5
116,18.3
117,21.2
118,19.2
119,20.4
120,19.3
121,22
122,20.3
123,20.5
124,17.3
125,18.8
126,21.4
127,15.7
128,16.2
129,18
130,14.3
131,19.2
132,19.6
133,23
134,18.4
135,15.6
136,18.1
137,17.4
138,17.1
139,13.3
140,17.8
141,14
142,14.4
143,13.4
144,15.6
145,11.8
146,13.8
147,15.6
148,14.6
149,17.8
150,15.4
151,21.5
152,19.6
153,15.3
154,19.4
155,17
156,15.6
157,13.1
158,41.3
159,24.3
160,23.3
161,27
162,50
163,50
164,50
165,22.7
166,25
167,50
168,23.8
169,23.8
170,22.3
171,17.4
172,19.1
173,23.1
174,23.6
175,22.6
176,29.4
177,23.2
178,24.6
179,29.9
180,37.2
181,39.8
182,36.2
183,37.9
184,32.5
185,26.4
186,29.6
187,50
188,32
189,29.8
190,34.9
191,37
192,30.5
193,36.4
