,index,SUPPLIER_NBR,SUPPLIER_ERP,SUPPLIER_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_ZIP_CDE,SUPPLIER_COUNTRY,SUPPLIER_TAX_ID,SPEND_USD,D-U-N-S Number,business_name,street_address,Global Ultimate Business Name,cosine_similarity,match
0,24,34001113,GORDON FOOD SERVICE INC,7286 FISHEL DR N,DUBLIN,OH,43016,US,38-1249848,247201.66,29007851,"Gordon Food Service, Inc.",1464 Stringtown Rd Grove City OH,"Gordon Food Service, Inc.",1.0,Yes
1,28,34001465,KPMG LLP,PO BOX 120001,DALLAS,TX,75312-0970,US,13-5565207,520345.21,47891481,Kpmg LLP,2323 Ross Ave Ste 1400 Dallas TX,Kpmg LLP,1.0,Yes
2,33,34001664,MCNAUGHTON MCKAY ELECTRIC CO,PO BOX 67000,DETROIT,MI,48267-0148,US,38-0812640,116023.02,118490149,McNaughton-Mckay Electric Co.,2001 Caniff St Detroit MI,McNaughton-Mckay Electric Co.,1.0000000000000002,Yes
3,34,34001714,MICROSOFT CORPORATION,PO BOX 847833,DALLAS,TX,75284-7853,US,91-1144442,12876160.87,32510443,Microsoft Corporation, Dallas TX,Microsoft Corporation,1.0,Yes
4,35,34001729,MILLCRAFT PAPER CO,PO BOX 72466,CLEVELAND,OH,44192,US,34-0401595,36980.31,7900988,The Millcraft Paper Company,6800 Grant Ave Cleveland OH,The Millcraft Group LLC,1.0,Yes
5,36,34001759,MALL OF AMERICA,PO BOX 1450,MINNEAPOLIS,MN,55485-5826,US,36-4309812,33659.13,35661491,Mall of America,2929 21st Ave S APT 307 Minneapolis MN,Mall of America,1.0000000000000002,Yes
6,41,34001998,PEARSON PACKAGING SYS,8120 W SUNSET HWY,SPOKANE,WA,99224,US,91-0827518,2740.66,76383283,Pearson Packaging LLC,8120 W US 2 Hwy Spokane WA,Pearson Packaging LLC,0.8208,Yes
7,43,34002011,PEREZ & MORRIS LLC,8000 RAVINE'S EDGE CT,COLUMBUS,OH,43235,US,31-1658788,1642.5,175903368,Perez & Morris LLC,8000 Ravines Edge CT # 300 Columbus OH,Perez & Morris LLC,1.0,Yes
8,44,34002197,RAYMOND STORAGE CONCEPTS INC,4350 INDECO COURT,CINCINNATI,OH,45241,US,80-0065827,87334.03,95028965,"Raymond Storage Concepts, Inc.",5480 Creek Rd Unit 1 Blue Ash OH,"Raymond Storage Concepts, Inc.",1.0,Yes
9,46,34002286,RUMPKE OF OHIO INC,3990 GENERATION DR,CINCINNATI,OH,45251,US,31-1617611,96032.97,53090234,"Rumpke of Ohio, Inc",3800 Struble Rd Cincinnati OH,"Rumpke Consolidated Companies, Inc.",1.0,Yes
10,49,34002328,SANTA ROSA PLAZA MERCHANTS ASSN,1071 SANTA ROSA PLAZA,SANTA ROSA,CA,95401,US,13-3152211,14137.5,71879464,"Santa Rosa, City of",100 Santa Rosa Ave Ste 6 Santa Rosa CA,"Santa Rosa, City of",0.7216,Yes
11,50,34002373,SGS HONG KONG LIMITED,"UNIT 303 AND 305, 3F, BLDG 22E, PHA",PAK SEK KOK,NT,0,HK,,4928.92,686992959,SGS HONG KONG LIMITED,Rm 303&305 3/F BLDG 22E PH 3 SHA TIN NT,SGS SA,1.0,Yes
12,58,34002769,TRI CITY INDUSTRIAL POWER,915 N MAIN ST,MIAMISBURG,OH,45342,US,83-2326307,118225.41,56573173,"Tri-City Industrial Power, Inc.",915 N Main St Miamisburg OH,East Penn Manufacturing Co.,1.0000000000000004,Yes
13,60,34002906,VORYS SATER SEYMOUR AND PEASE,52 E GAY ST,COLUMBUS,OH,43215,US,31-4333125,869083.59,194092763,"Vorys, Sater, Seymour and Pease LLP",200 Public Sq Ste 1400 Cleveland OH,"Vorys, Sater, Seymour and Pease LLP",1.0000000000000002,Yes
14,61,34002912,WAGEWORKS INC,15 W SCENIC POINTE DR STE 100,DRAPER,UT,84020-6118,US,94-3351864,1004622.6,40055445,Wageworks Inc,8435 Franklin Ave Los Angeles CA,Wageworks Inc,1.0,Yes
15,68,34003041,LEE HECHT HARRISON LLC,DEPT CH 10544,PALATINE,IL,60055-0544,US,11-3575564,84100.0,118888737,Lee Hecht Harrison LLC,540 W Madison St Ste 4 Chicago IL,Adecco Group AG,1.0,Yes
16,77,34003482,OPEN TEXT INC,24685 NETWORK PL,CHICAGO,IL,60673-1246,US,46-0525483,142980.19,79224672,Open Text Inc.,8600 W Bryn Mawr Ave Chicago IL,Open Text Corporation,1.0,Yes
17,85,34003774,DEMATIC CORP,684125 NETWORK PL,CHICAGO,IL,60673-1684,US,04-3834872,524882.95,80832218,Dematic Corp.,684125 Network Pl Chicago IL,KION GROUP AG,1.0,Yes
18,89,34003880,KOORSEN FIRE AND SECURITY INC,2719 N ARLINGTON AVE,INDIANAPOLIS,IN,46218-3322,US,35-1153549,116045.41,16416893,"Koorsen Fire & Security, Inc.",2719 N Arlington Ave Indianapolis IN,"Koorsen Fire & Security, Inc.",1.0,Yes
