Region,Country,Store,SKU,date,quantity
APAC,Australia,Store11,phone-black,2020-09-01,32
APAC,Australia,Store11,phone-white,2020-09-01,78
APAC,Australia,Store11,computer-18 inch,2020-09-01,136
APAC,Australia,Store11,computer-15 inch,2020-09-01,84
APAC,Australia,Store12,phone-black,2020-09-01,193
APAC,Australia,Store12,phone-white,2020-09-01,106
APAC,Australia,Store12,computer-18 inch,2020-09-01,116
APAC,Australia,Store12,computer-15 inch,2020-09-01,154
APAC,Australia,Store11,phone-black,2020-09-02,36
APAC,Australia,Store11,phone-white,2020-09-02,89
APAC,Australia,Store11,computer-18 inch,2020-09-02,160
APAC,Australia,Store11,computer-15 inch,2020-09-02,117
APAC,Australia,Store12,phone-black,2020-09-02,81
APAC,Australia,Store12,phone-white,2020-09-02,188
APAC,Australia,Store12,computer-18 inch,2020-09-02,108
APAC,Australia,Store12,computer-15 inch,2020-09-02,100
APAC,Australia,Store11,phone-black,2020-09-03,45
APAC,Australia,Store11,phone-white,2020-09-03,47
APAC,Australia,Store11,computer-18 inch,2020-09-03,185
APAC,Australia,Store11,computer-15 inch,2020-09-03,95
APAC,Australia,Store12,phone-black,2020-09-03,119
APAC,Australia,Store12,phone-white,2020-09-03,186
APAC,Australia,Store12,computer-18 inch,2020-09-03,126
APAC,Australia,Store12,computer-15 inch,2020-09-03,133
APAC,Australia,Store11,phone-black,2020-09-04,63
APAC,Australia,Store11,phone-white,2020-09-04,50
APAC,Australia,Store11,computer-18 inch,2020-09-04,260
APAC,Australia,Store11,computer-15 inch,2020-09-04,94
APAC,Australia,Store12,phone-black,2020-09-04,94
APAC,Australia,Store12,phone-white,2020-09-04,108
APAC,Australia,Store12,computer-18 inch,2020-09-04,106
APAC,Australia,Store12,computer-15 inch,2020-09-04,106
APAC,Australia,Store11,phone-black,2020-09-05,22
APAC,Australia,Store11,phone-white,2020-09-05,36
APAC,Australia,Store11,computer-18 inch,2020-09-05,176
APAC,Australia,Store11,computer-15 inch,2020-09-05,31
APAC,Australia,Store12,phone-black,2020-09-05,188
APAC,Australia,Store12,phone-white,2020-09-05,143
APAC,Australia,Store12,computer-18 inch,2020-09-05,106
APAC,Australia,Store12,computer-15 inch,2020-09-05,131
APAC,Australia,Store11,phone-black,2020-09-06,38
APAC,Australia,Store11,phone-white,2020-09-06,73
APAC,Australia,Store11,computer-18 inch,2020-09-06,181
APAC,Australia,Store11,computer-15 inch,2020-09-06,115
APAC,Australia,Store12,phone-black,2020-09-06,167
APAC,Australia,Store12,phone-white,2020-09-06,172
APAC,Australia,Store12,computer-18 inch,2020-09-06,63
APAC,Australia,Store12,computer-15 inch,2020-09-06,133
APAC,Australia,Store11,phone-black,2020-09-07,44
APAC,Australia,Store11,phone-white,2020-09-07,83
APAC,Australia,Store11,computer-18 inch,2020-09-07,111
APAC,Australia,Store11,computer-15 inch,2020-09-07,53
APAC,Australia,Store12,phone-black,2020-09-07,160
APAC,Australia,Store12,phone-white,2020-09-07,153
APAC,Australia,Store12,computer-18 inch,2020-09-07,34
APAC,Australia,Store12,computer-15 inch,2020-09-07,160
APAC,Australia,Store11,phone-black,2020-09-08,35
APAC,Australia,Store11,phone-white,2020-09-08,90
APAC,Australia,Store11,computer-18 inch,2020-09-08,138
APAC,Australia,Store11,computer-15 inch,2020-09-08,123
APAC,Australia,Store12,phone-black,2020-09-08,179
APAC,Australia,Store12,phone-white,2020-09-08,100
APAC,Australia,Store12,computer-18 inch,2020-09-08,142
APAC,Australia,Store12,computer-15 inch,2020-09-08,97
APAC,Australia,Store11,phone-black,2020-09-09,38
APAC,Australia,Store11,phone-white,2020-09-09,99
APAC,Australia,Store11,computer-18 inch,2020-09-09,230
APAC,Australia,Store11,computer-15 inch,2020-09-09,147
APAC,Australia,Store12,phone-black,2020-09-09,156
APAC,Australia,Store12,phone-white,2020-09-09,183
APAC,Australia,Store12,computer-18 inch,2020-09-09,123
APAC,Australia,Store12,computer-15 inch,2020-09-09,81
APAC,Australia,Store11,phone-black,2020-09-10,50
APAC,Australia,Store11,phone-white,2020-09-10,103
APAC,Australia,Store11,computer-18 inch,2020-09-10,243
APAC,Australia,Store11,computer-15 inch,2020-09-10,143
APAC,Australia,Store12,phone-black,2020-09-10,135
APAC,Australia,Store12,phone-white,2020-09-10,203
APAC,Australia,Store12,computer-18 inch,2020-09-10,105
APAC,Australia,Store12,computer-15 inch,2020-09-10,140
APAC,Australia,Store11,phone-black,2020-09-11,35
APAC,Australia,Store11,phone-white,2020-09-11,81
APAC,Australia,Store11,computer-18 inch,2020-09-11,91
APAC,Australia,Store11,computer-15 inch,2020-09-11,185
APAC,Australia,Store12,phone-black,2020-09-11,136
APAC,Australia,Store12,phone-white,2020-09-11,141
APAC,Australia,Store12,computer-18 inch,2020-09-11,109
APAC,Australia,Store12,computer-15 inch,2020-09-11,159
APAC,Australia,Store11,phone-black,2020-09-12,27
APAC,Australia,Store11,phone-white,2020-09-12,28
APAC,Australia,Store11,computer-18 inch,2020-09-12,59
APAC,Australia,Store11,computer-15 inch,2020-09-12,127
APAC,Australia,Store12,phone-black,2020-09-12,109
APAC,Australia,Store12,phone-white,2020-09-12,78
APAC,Australia,Store12,computer-18 inch,2020-09-12,134
APAC,Australia,Store12,computer-15 inch,2020-09-12,135
APAC,Australia,Store11,phone-black,2020-09-13,25
APAC,Australia,Store11,phone-white,2020-09-13,67
APAC,Australia,Store11,computer-18 inch,2020-09-13,150
APAC,Australia,Store11,computer-15 inch,2020-09-13,21
APAC,Australia,Store12,phone-black,2020-09-13,129
APAC,Australia,Store12,phone-white,2020-09-13,176
APAC,Australia,Store12,computer-18 inch,2020-09-13,69
APAC,Australia,Store12,computer-15 inch,2020-09-13,105
