date,sku_id,channel,inventory_onhand,units_sold,lost_sales,arrivals_today,promo_flag,holiday_flag
2023-01-01,SKU_001,store,475,25,0,0,0,1
2023-01-02,SKU_001,store,455,20,0,0,0,0
2023-01-03,SKU_001,store,430,25,0,0,0,0
2023-01-04,SKU_001,store,408,22,0,0,0,0
2023-01-05,SKU_001,store,388,20,0,0,0,0
2023-01-06,SKU_001,store,343,45,0,0,0,0
2023-01-07,SKU_001,store,316,27,0,0,1,0
2023-01-08,SKU_001,store,298,18,0,0,0,0
2023-01-09,SKU_001,store,280,18,0,0,0,0
2023-01-10,SKU_001,store,243,37,0,0,0,0
2023-01-11,SKU_001,store,216,27,0,0,1,0
2023-01-12,SKU_001,store,172,44,0,0,0,0
2023-01-13,SKU_001,store,141,31,0,0,0,0
2023-01-14,SKU_001,store,106,35,0,0,0,0
2023-01-15,SKU_001,store,80,26,0,0,0,0
2023-01-16,SKU_001,store,40,40,0,0,0,0
2023-01-17,SKU_001,store,23,17,0,0,0,0
2023-01-18,SKU_001,store,0,23,19,0,0,0
2023-01-19,SKU_001,store,0,0,23,0,0,0
2023-01-20,SKU_001,store,0,0,35,0,0,0
2023-01-21,SKU_001,store,0,0,33,0,0,0
2023-01-22,SKU_001,store,0,0,39,0,0,0
2023-01-23,SKU_001,store,0,0,21,0,0,0
2023-01-24,SKU_001,store,0,0,46,0,0,0
2023-01-25,SKU_001,store,0,0,45,0,0,0
2023-01-26,SKU_001,store,0,0,23,0,0,0
2023-01-27,SKU_001,store,0,0,31,0,0,0
2023-01-28,SKU_001,store,0,0,27,0,0,0
2023-01-29,SKU_001,store,0,0,29,0,0,0
2023-01-30,SKU_001,store,0,0,16,0,1,0
2023-01-31,SKU_001,store,0,0,11,0,0,0
2023-02-01,SKU_001,store,0,0,36,0,0,0
2023-02-02,SKU_001,store,0,0,18,0,1,0
2023-02-03,SKU_001,store,0,0,30,0,0,0
2023-02-04,SKU_001,store,0,0,30,0,0,0
2023-02-05,SKU_001,store,0,0,38,0,0,0
2023-02-06,SKU_001,store,101,0,31,101,0,0
2023-02-07,SKU_001,store,74,27,0,0,1,0
2023-02-08,SKU_001,store,33,41,0,0,0,0
2023-02-09,SKU_001,store,8,25,0,0,0,0
2023-02-10,SKU_001,store,0,8,14,0,0,0
2023-02-11,SKU_001,store,0,0,29,0,0,0
2023-02-12,SKU_001,store,0,0,11,0,1,0
2023-02-13,SKU_001,store,0,0,28,0,0,0
2023-02-14,SKU_001,store,0,0,32,0,0,0
2023-02-15,SKU_001,store,0,0,24,0,0,0
2023-02-16,SKU_001,store,0,0,29,0,0,0
2023-02-17,SKU_001,store,0,0,16,0,0,0
2023-02-18,SKU_001,store,0,0,34,0,0,0
2023-02-19,SKU_001,store,0,0,12,0,0,0
2023-02-20,SKU_001,store,274,0,13,274,0,0
2023-02-21,SKU_001,store,261,13,0,0,0,0
2023-02-22,SKU_001,store,235,26,0,0,0,0
2023-02-23,SKU_001,store,221,14,0,0,0,0
2023-02-24,SKU_001,store,180,41,0,0,0,0
2023-02-25,SKU_001,store,151,29,0,0,0,0
2023-02-26,SKU_001,store,113,38,0,0,1,0
2023-02-27,SKU_001,store,86,27,0,0,0,0
2023-02-28,SKU_001,store,46,40,0,0,1,0
2023-03-01,SKU_001,store,14,32,0,0,0,0
2023-03-02,SKU_001,store,0,14,12,0,0,0
2023-03-03,SKU_001,store,0,0,25,0,0,0
2023-03-04,SKU_001,store,0,0,14,0,0,0
2023-03-05,SKU_001,store,0,0,31,0,0,0
2023-03-06,SKU_001,store,0,0,20,0,0,0
2023-03-07,SKU_001,store,0,0,38,0,0,0
2023-03-08,SKU_001,store,0,0,33,0,0,0
2023-03-09,SKU_001,store,0,0,20,0,0,0
2023-03-10,SKU_001,store,0,0,15,0,1,0
2023-03-11,SKU_001,store,0,0,39,0,0,0
2023-03-12,SKU_001,store,0,0,14,0,0,0
2023-03-13,SKU_001,store,0,0,11,0,0,0
2023-03-14,SKU_001,store,0,0,35,0,1,0
2023-03-15,SKU_001,store,0,0,21,0,0,0
2023-03-16,SKU_001,store,0,0,42,0,0,0
2023-03-17,SKU_001,store,0,0,24,0,0,0
2023-03-18,SKU_001,store,0,0,27,0,0,0
2023-03-19,SKU_001,store,0,0,15,0,1,0
2023-03-20,SKU_001,store,0,0,21,0,0,0
2023-03-21,SKU_001,store,0,0,32,0,0,0
2023-03-22,SKU_001,store,127,0,29,127,0,0
2023-03-23,SKU_001,store,92,35,0,0,0,0
2023-03-24,SKU_001,store,69,23,0,0,0,0
2023-03-25,SKU_001,store,29,40,0,0,1,0
2023-03-26,SKU_001,store,4,25,0,0,0,0
2023-03-27,SKU_001,store,0,4,5,0,0,0
2023-03-28,SKU_001,store,170,0,25,170,0,0
2023-03-29,SKU_001,store,154,16,0,0,0,0
2023-03-30,SKU_001,store,114,40,0,0,0,0
2023-03-31,SKU_001,store,100,14,0,0,0,0
2023-04-01,SKU_001,store,85,15,0,0,0,0
2023-04-02,SKU_001,store,48,37,0,0,0,0
2023-04-03,SKU_001,store,0,48,3,0,0,0
2023-04-04,SKU_001,store,0,0,37,0,0,0
2023-04-05,SKU_001,store,0,0,24,0,0,0
2023-04-06,SKU_001,store,0,0,16,0,0,0
2023-04-07,SKU_001,store,0,0,22,0,0,0
2023-04-08,SKU_001,store,0,0,40,0,0,0
2023-04-09,SKU_001,store,200,0,20,200,1,0
2023-04-10,SKU_001,store,166,34,0,0,0,0
2023-04-11,SKU_001,store,146,20,0,0,1,0
2023-04-12,SKU_001,store,113,33,0,0,0,0
2023-04-13,SKU_001,store,79,34,0,0,0,0
2023-04-14,SKU_001,store,42,37,0,0,0,0
2023-04-15,SKU_001,store,0,42,0,0,0,0
2023-04-16,SKU_001,store,0,0,24,0,0,0
2023-04-17,SKU_001,store,0,0,24,0,0,0
2023-04-18,SKU_001,store,0,0,16,0,0,0
2023-04-19,SKU_001,store,0,0,53,0,0,0
2023-04-20,SKU_001,store,0,0,28,0,1,0
2023-04-21,SKU_001,store,0,0,42,0,0,0
2023-04-22,SKU_001,store,0,0,30,0,0,0
2023-04-23,SKU_001,store,0,0,39,0,0,0
2023-04-24,SKU_001,store,0,0,36,0,0,0
2023-04-25,SKU_001,store,168,0,28,168,0,0
2023-04-26,SKU_001,store,136,32,0,0,0,0
2023-04-27,SKU_001,store,102,34,0,0,0,0
2023-04-28,SKU_001,store,62,40,0,0,0,0
2023-04-29,SKU_001,store,39,23,0,0,0,0
2023-04-30,SKU_001,store,20,19,0,0,0,0
2023-05-01,SKU_001,store,0,20,6,0,0,0
2023-05-02,SKU_001,store,0,0,11,0,0,0
2023-05-03,SKU_001,store,0,0,39,0,0,0
2023-05-04,SKU_001,store,0,0,19,0,0,0
2023-05-05,SKU_001,store,0,0,13,0,0,0
2023-05-06,SKU_001,store,0,0,30,0,0,0
2023-05-07,SKU_001,store,0,0,21,0,0,0
2023-05-08,SKU_001,store,0,0,32,0,0,0
2023-05-09,SKU_001,store,0,0,16,0,1,0
2023-05-10,SKU_001,store,0,0,25,0,0,0
2023-05-11,SKU_001,store,0,0,22,0,0,0
2023-05-12,SKU_001,store,0,0,19,0,0,0
2023-05-13,SKU_001,store,0,0,33,0,0,0
2023-05-14,SKU_001,store,0,0,17,0,0,0
2023-05-15,SKU_001,store,0,0,25,0,0,0
2023-05-16,SKU_001,store,0,0,47,0,0,0
